,Key,Faculty,Department,Program,Level,Degree,Course code,Course number,Title,Description,Metadata,Type,Website,Class Units
0,FAS_0173,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,301,Traduction littéraire du français à l’anglais,travaux pratiques,Courses,Course-integrated,,3.0
1,FAS_0174,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,304,Traduction littéraire de l’anglais au français,travaux pratiques,Courses,Course-integrated,,3.0
2,FAS_0175,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,401,Traduction littéraire avancée : du français à l’anglais,travaux pratiques,Courses,Course-integrated,,3.0
3,FAS_0176,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,402,Traduction littéraire avancée : de l’anglais au français,travaux pratiques,Courses,Course-integrated,,3.0
4,FAS_1,FAS,Applied Human Sciences,Any program,Undergraduate,Bachelor / Certificate,AHSC,225,Self-Managed Learning,"Enables students to create clear personal visions, set relevant learning goals, create, organize related activities, & assess their progress",Courses,Course-integrated,,3.0
5,FAS_10,FAS,Applied Human Sciences,Human Relations / Family Life Education,Undergraduate,Bachelor / Certificate,AHSC,435,Fieldwork Practice,"Fieldwork, lead one small task or learning group in a community, an organizational or an institutional setting",Courses,Course-integrated,,3.0
6,FAS_100,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,477,Communication Media: Sound III,Practicum course,,Course-integrated,,3.0
7,FAS_1000,FAS,History,History,Undergraduate,Bachelor,HIST,368,African Popular Culture,This course explores the varied terrain of African popular culture in the 19th and 20th centuries.,Courses,Course-integrated,,3.0
8,FAS_1001,FAS,History,History,Undergraduate,Bachelor,HIST,379,History Through Visual Media and Material Culture,"This course explores the relationship between the public and the past by examining issues in the production, distribution, and reception of history via these new and changing technologies.",Courses,Course-integrated,,3.0
9,FAS_1002,FAS,History,History,Undergraduate,Bachelor,HIST,381,The Politics of the Past,"This course examines the uses of history and the role of the historian in the political arena, focusing on cases in which the past has underwritten social movements or mediated public controversies.",Courses,Course-integrated,,3.0
10,FAS_1003,FAS,History,History,Undergraduate,Bachelor,HIST,387,Selected Topics in Public History,"Specific topics for this course, and relevant prerequisites, are stated in the Undergraduate Class Schedule.",Courses,Course-integrated,,3.0
