"course","title"
"http://is-concordia.io/MUSI482","Supervised Internship II"
"http://is-concordia.io/FINA411","Portfolio Management"
"http://is-concordia.io/CIVI6381","Hydraulic Structures"
"http://is-concordia.io/MECH6491","Engineering Metrology and Measurement Systems"
"http://is-concordia.io/SCUL398","Special Topics in Sculpture"
"http://is-concordia.io/INDU6361","Discrete Optimization"
"http://is-concordia.io/MBA659","Strategies in Action (Case Competition)"
"http://is-concordia.io/ENGL474","Honours Essay"
"http://is-concordia.io/COMS507","Scriptwriting for the Media"
"http://is-concordia.io/RELI392","Women in Jewish History: Modern"
"http://is-concordia.io/APLI635","Language Assessment"
"http://is-concordia.io/ACTT435","Creation Project"
"http://is-concordia.io/MANA300","Entrepreneurship: Launching Your Business"
"http://is-concordia.io/MECH6451","Computer-Aided Mechanical Design"
"http://is-concordia.io/ELEC453","Microwave Engineering"
"http://is-concordia.io/CATA485","Athletic Therapy Field Internship II"
"http://is-concordia.io/ELEC423","Introduction to Analog VLSI"
"http://is-concordia.io/PHYS226","Introductory Experimental Waves and Modern Physics"
"http://is-concordia.io/MBA662","MBA Surgical Innovation II"
"http://is-concordia.io/PTNG450","Painting IV"
"http://is-concordia.io/MECH452","Heat Transfer II"
"http://is-concordia.io/INSE6100","Advanced Java Platforms"
"http://is-concordia.io/PHYS760","MSc Seminar on Selected Topics"
"http://is-concordia.io/COMP478","Image Processing"
"http://is-concordia.io/CIVI6541","Reinforced Earth"
"http://is-concordia.io/EDUC302","Working in Childhood Settings: Leadership and Organizational Issues"
"http://is-concordia.io/DFTT298","Special Topics in Design for the Theatre"
"http://is-concordia.io/MARK454","Personal Selling"
"http://is-concordia.io/ACTT481","Conducting Acting Workshop"
"http://is-concordia.io/BIOL689","Advanced Techniques in Molecular Biology"
"http://is-concordia.io/ELEC6491","Controlled Electric Drives"
"http://is-concordia.io/MPER421","Chamber Ensemble III"
"http://is-concordia.io/EMBA612","Marketing Management"
"http://is-concordia.io/ELEC342","Discrete-Time Signals and Systems"
"http://is-concordia.io/FINA409","Applied Investment Analysis"
"http://is-concordia.io/CIVI6101","Planning and Design of Bridges"
"http://is-concordia.io/RELI223","Introduction to Christianity"
"http://is-concordia.io/BLDG463","Building Envelope Design"
"http://is-concordia.io/AHSC425","Organization Development II"
"http://is-concordia.io/DRAW418","Life in the Round: Drawing the Figure from Observation II"
"http://is-concordia.io/PRIN311","Intaglio II"
"http://is-concordia.io/KCEP449","Physical Fitness Assessment, Exercise Prescription and Rehabilitation in Special Populations"
"http://is-concordia.io/ENGL601","Literary Pedagogies"
"http://is-concordia.io/MECH6231","Helicopter Flight Dynamics"
"http://is-concordia.io/ELEC6231","Design of Integrated Circuit Components"
"http://is-concordia.io/INDU6141","Logistics Network Models"
"http://is-concordia.io/RELI210","Religion in Practice"
"http://is-concordia.io/ACCO435","Strategic Accounting Case Analysis"
"http://is-concordia.io/FPST497","Proseminar 3: Oral Traditions as Methodology"
"http://is-concordia.io/MECH6621","Microprocessors and Applications"
"http://is-concordia.io/BIOL368","Genetics and Cell Biology Laboratory"
"http://is-concordia.io/FINA415","Mergers and Acquisitions"
"http://is-concordia.io/MAST333","Applied Statistics"
"http://is-concordia.io/FPST397","Proseminar 2: Ethics and First Peoples"
"http://is-concordia.io/PSYC712","Extramural Practicum I: Adult"
"http://is-concordia.io/SPAN201","Introductory Spanish I"
"http://is-concordia.io/CHEM487","Capstone Seminar in Environmental Science"
"http://is-concordia.io/STAT460","Time Series and Forecasting"
"http://is-concordia.io/IRST344","Classics of Irish Theatre"
"http://is-concordia.io/ARTX491","Independent Study II"
"http://is-concordia.io/DANC201","Creative Process I"
"http://is-concordia.io/TESL427","Secondary Pedagogy"
"http://is-concordia.io/SCUL251","Sculpture/Mechanics"
"http://is-concordia.io/SOCI415","Field Research"
"http://is-concordia.io/FTRA613","Advanced translation in social sciences and the humanities Co-listé : FTRA 542 ou FTRA 543"
"http://is-concordia.io/ENCS6821","Development & Global Engineering (also listed as ENCS 6821)"
"http://is-concordia.io/EMBA676","International Study Trip"
"http://is-concordia.io/IMCA400","Advanced Practices in Video, Performance and Electronic Arts"
"http://is-concordia.io/MECH6181","Heating, Air Conditioning and Ventilation"
"http://is-concordia.io/INSE7110","Value Added Service Engineering in Next Generation Networks"
"http://is-concordia.io/FRAN319","Le français des affaires II"
"http://is-concordia.io/ELEC438","Industrial Electrical Systems"
"http://is-concordia.io/WSDB498","Seminar in Women’s Studies"
"http://is-concordia.io/PERC324","Queer Theatre and Performance"
"http://is-concordia.io/LING490","Honours Thesis"
"http://is-concordia.io/CERA499","Special Topics in Ceramics"
"http://is-concordia.io/LIBS495","Field Practice"
"http://is-concordia.io/MECH6121","Aerodynamics"
"http://is-concordia.io/BIOL451","Field Ecology"
"http://is-concordia.io/SCPA516","Logement et aménagement du territoire dans une perspective de DÉC. Partie II"
"http://is-concordia.io/SCPA516","Housing and Land Use from a CED Perspective: Part II"
"http://is-concordia.io/FRAA523","Rédaction avancée"
"http://is-concordia.io/PHYS862","Doctoral Seminar on Selected Topics II"
"http://is-concordia.io/IMCA221","Programming for Artists"
"http://is-concordia.io/MECH6751","Vehicle Dynamics"
"http://is-concordia.io/FTRA638","Initiation au sous-titrage
Co-listé : FTRA 538"
"http://is-concordia.io/BIOL498","Internship In Tropical Biology"
"http://is-concordia.io/ETEC671","Administering Educational Technology Groups"
"http://is-concordia.io/ECON324","Economic Data Analysis"
"http://is-concordia.io/AHSC527","Advanced Youth Work Intervention: Case Management and Supervision"
"http://is-concordia.io/EXCI455","Physical Activity, Health and Aging"
"http://is-concordia.io/MARK465","International Marketing Management"
"http://is-concordia.io/SCUL450","Independent Study"
"http://is-concordia.io/INSE6421","Systems Integration and Testing"
"http://is-concordia.io/MARK463","Retailing"
"http://is-concordia.io/DFTT326","Costume Accessories Realization"
"http://is-concordia.io/EDUC264","Communication: Child, Parent and Teacher"
"http://is-concordia.io/COEN6331","Neural Networks"
"http://is-concordia.io/SOEN490","Capstone Software Engineering Design Project"
"http://is-concordia.io/GEOG467","Environmental Modelling"
"http://is-concordia.io/ENGR412","Honours Research Project"
"http://is-concordia.io/JOUR527","Elements of Lighting for Visual Journalism"
"http://is-concordia.io/COMP5481","Programming and Problem Solving"
"http://is-concordia.io/CHST608","Field Observations"
"http://is-concordia.io/DFTT315","Lighting Design Realization"
"http://is-concordia.io/MECH215","Programming for Mechanical and Industrial Engineers"
"http://is-concordia.io/PHIL265","Introduction to Metaphysics"
"http://is-concordia.io/COMP6461","Computer Networks and Protocols"
"http://is-concordia.io/IMCA222","Electronics for Artists"
"http://is-concordia.io/ELEC275","Principles of Electrical Engineering"
"http://is-concordia.io/MARK485","Business to Business Marketing"
"http://is-concordia.io/SOEN487","Web Services and Applications"
"http://is-concordia.io/JOUR505","Advanced Reporting"
"http://is-concordia.io/CIVI6441","Traffic Engineering"
"http://is-concordia.io/ACCO659","Capstone II Examination Preparation"
"http://is-concordia.io/IMCA310","Intermediate Video Production"
"http://is-concordia.io/COMP6761","Advanced Computer Graphics"
"http://is-concordia.io/AHSC436","Internship in Youth and Family Work"
"http://is-concordia.io/ELEC472","Advanced Telecommunication Network"
"http://is-concordia.io/BIOL801","Pedagogical Training"
"http://is-concordia.io/COMP6321","Machine Learning"
