"topicName","topics"
"Grid_computing","http://is-concordia.io/Grid_computing"
"High_availability","http://is-concordia.io/High_availability"
"Parallel_computing","http://is-concordia.io/Parallel_computing"
"Scalability","http://is-concordia.io/Scalability"
"Cloud_computing","http://is-concordia.io/Cloud_computing"
"Planning_algorithm","http://is-concordia.io/Planning_algorithm"
"Semantic_web","http://is-concordia.io/Semantic_web"
"Inference_engine","http://is-concordia.io/Inference_engine"
"Knowledge_engineering","http://is-concordia.io/Knowledge_engineering"
"Expert_system_shell","http://is-concordia.io/Expert_system_shell"
"Evolutionary_computation","http://is-concordia.io/Evolutionary_computation"
